Designator,Mid X,Mid Y,Rotation,Layer
LED185,135.2353,-22.6,180.0,top
LED186,105.2353,-22.6,180.0,top
LED187,75.2353,-22.6,180.0,top
LED188,51.2353,-22.6,180.0,top
LED189,165.2353,-22.6,180.0,top
LED19,117.2353,-4.6,180.0,top
LED190,21.2353,-22.6,180.0,top
LED191,129.2353,-22.6,180.0,top
LED192,93.2353,-22.6,180.0,top
LED193,69.2353,-22.6,180.0,top
LED194,45.2353,-22.6,180.0,top
LED195,189.2353,-28.6,180.0,top
LED196,159.2353,-34.6,180.0,top
LED197,225.2353,-28.6,180.0,top
LED198,249.2353,-34.6,180.0,top
LED199,213.2353,-34.6,180.0,top
LED2,9.2353,-4.6,180.0,top
LED20,99.2353,-4.6,180.0,top
LED200,189.2353,-34.6,180.0,top
LED201,195.2353,-28.6,180.0,top
LED202,153.2353,-34.6,180.0,top
LED203,231.2353,-28.6,180.0,top
LED204,243.2353,-34.6,180.0,top
LED205,207.2353,-34.6,180.0,top
LED206,183.2353,-34.6,180.0,top
LED207,207.2353,-28.6,180.0,top
LED208,147.2353,-34.6,180.0,top
LED209,243.2353,-28.6,180.0,top
LED21,123.2353,-4.6,180.0,top
LED210,231.2353,-34.6,180.0,top
LED211,201.2353,-34.6,180.0,top
LED212,177.2353,-34.6,180.0,top
LED213,213.2353,-28.6,180.0,top
LED214,141.2353,-34.6,180.0,top
LED215,249.2353,-28.6,180.0,top
LED216,225.2353,-34.6,180.0,top
LED217,195.2353,-34.6,180.0,top
LED218,171.2353,-34.6,180.0,top
LED219,45.2353,-40.6,180.0,top
LED22,129.2353,-4.6,180.0,top
LED220,195.2353,-40.6,180.0,top
LED221,81.2353,-40.6,180.0,top
LED222,105.2353,-40.6,180.0,top
LED223,135.2353,-40.6,180.0,top
LED224,165.2353,-40.6,180.0,top
LED225,51.2353,-40.6,180.0,top
LED226,207.2353,-40.6,180.0,top
LED227,87.2353,-40.6,180.0,top
LED228,117.2353,-40.6,180.0,top
LED229,141.2353,-40.6,180.0,top
LED23,189.2353,-10.6,180.0,top
LED230,171.2353,-40.6,180.0,top
LED231,63.2353,-40.6,180.0,top
LED232,213.2353,-40.6,180.0,top
LED233,93.2353,-40.6,180.0,top
LED234,123.2353,-40.6,180.0,top
LED235,153.2353,-40.6,180.0,top
LED236,177.2353,-40.6,180.0,top
LED237,69.2353,-40.6,180.0,top
LED238,219.2353,-40.6,180.0,top
LED239,99.2353,-40.6,180.0,top
LED24,135.2353,-4.6,180.0,top
LED240,129.2353,-40.6,180.0,top
LED241,159.2353,-40.6,180.0,top
LED242,189.2353,-40.6,180.0,top
LED243,81.2353,-46.6,180.0,top
LED244,81.2353,-52.6,180.0,top
LED245,225.2353,-40.6,180.0,top
